,0,1,"query","relations","target","primary","primary_rel","secondary_rel"
59,"What gene is mutated in Huntingtons Disease patients?","select ?item ?itemLabel
Where {
  wd:Q190564 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q190564 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q190564","wdt:P2293","(wdt:P31|wdt:P279)*"
60,"Which disease is caused by mutations in the gene CALR?","select ?item where {
  ?item wdt:P2293 wd:Q14633932 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['?item wdt:P2293 wd:Q14633932', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q14633932","wdt:P2293","(wdt:P31|wdt:P279)*"
61,"Telomestatin is derived from what organism?","select ?item where {
  wd:Q4391972 wdt:P703 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q21871294 .
}","['wd:Q4391972 wdt:P703 ?item', '?item (wdt:P31|wdt:P279)* wd:Q21871294']","['wdt:P703', '(wdt:P31|wdt:P279)*']","wd:Q21871294","wd:Q4391972","wdt:P703","(wdt:P31|wdt:P279)*"
62,"Which human disease is associated with mutated UBQLN2","select ?item ?itemLabel
Where {
  wd:Q18039744 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q18039744 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q18039744","wdt:P2293","(wdt:P31|wdt:P279)*"
63,"What genes are related to breast cancer?","select distinct ?item where {
  wd:Q128581 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q128581 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q128581","wdt:P2293","(wdt:P31|wdt:P279)*"
64,"In which types of DNA repair is the UvrAB complex involved?","select distinct ?item where {
  wd:Q107602011 wdt:P682 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q210538 .
}","['wd:Q107602011 wdt:P682 ?item', '?item (wdt:P31|wdt:P279)* wd:Q210538']","['wdt:P682', '(wdt:P31|wdt:P279)*']","wd:Q210538","wd:Q107602011","wdt:P682","(wdt:P31|wdt:P279)*"
65,"Which genes are implicated in short QT syndrome?","select distinct ?item where {
  wd:Q1484058 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q1484058 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q1484058","wdt:P2293","(wdt:P31|wdt:P279)*"
66,"Please list diseases treated with Valtrex(valacyclovir)","select distinct ?item where {
  wd:Q418594 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['wd:Q418594 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q418594","wdt:P2175","(wdt:P31|wdt:P279)*"
67,"Which disease phenotypes are associated to PRPS1 mutations?","select distinct ?item where {
  ?item wdt:P2293 wd:Q18030814 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['?item wdt:P2293 wd:Q18030814', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q18030814","wdt:P2293","(wdt:P31|wdt:P279)*"
68,"Mutation of which gene is implicated in the Christianson syndrome?","select ?item ?itemLabel
Where {
  wd:Q28065629 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q28065629 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q28065629","wdt:P2293","(wdt:P31|wdt:P279)*"
69,"HER-2 belongs to what family of proteins?","select ?item ?itemLabel
Where {
  wd:Q415271 wdt:P361 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q417841 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q415271 wdt:P361 ?item', '?item (wdt:P31|wdt:P279)* wd:Q417841']","['wdt:P361', '(wdt:P31|wdt:P279)*']","wd:Q417841","wd:Q415271","wdt:P361","(wdt:P31|wdt:P279)*"
70,"Which protein family is epiregulin a member of?","select ?item where {
  wd:Q5383215 wdt:P361 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q417841 .
}","['wd:Q5383215 wdt:P361 ?item', '?item (wdt:P31|wdt:P279)* wd:Q417841']","['wdt:P361', '(wdt:P31|wdt:P279)*']","wd:Q417841","wd:Q5383215","wdt:P361","(wdt:P31|wdt:P279)*"
71,"Which gene is responsible for the development of the Mowat-Wilson syndrome?","select ?item ?itemLabel
Where {
  wd:Q2757585 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q2757585 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q2757585","wdt:P2293","(wdt:P31|wdt:P279)*"
72,"Which are the skeletal manifestations of Marfan syndrome?","select distinct ?item where {
  ?item (wdt:P31|wdt:P279)* wd:Q4941552 . 
  wd:Q208562 wdt:P780 ?item .
}","['?item (wdt:P31|wdt:P279)* wd:Q4941552', 'wd:Q208562 wdt:P780 ?item']","['(wdt:P31|wdt:P279)*', 'wdt:P780']","wd:Q4941552","wd:Q208562","wdt:P780","(wdt:P31|wdt:P279)*"
73,"Which disease is treated with semaglutide?","select ?item ?itemLabel
Where {
  wd:Q27261089 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q27261089 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q27261089","wdt:P2175","(wdt:P31|wdt:P279)*"
74,"What are the phases of hair follicle cycle?","select ?item where {
  ?item wdt:P361 wd:Q14908094 .
  ?item (wdt:P31|wdt:P279)* wd:Q22299142 .
}
","['?item wdt:P361 wd:Q14908094', '?item (wdt:P31|wdt:P279)* wd:Q22299142']","['wdt:P361', '(wdt:P31|wdt:P279)*']","wd:Q22299142","wd:Q14908094","wdt:P361","(wdt:P31|wdt:P279)*"
75,"In which cell organelle is the SAF-A protein localized?","select ?item ?itemLabel
Where {
  wd:Q21172295 wdt:P681 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q45948 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q21172295 wdt:P681 ?item', '?item (wdt:P31|wdt:P279)* wd:Q45948']","['wdt:P681', '(wdt:P31|wdt:P279)*']","wd:Q45948","wd:Q21172295","wdt:P681","(wdt:P31|wdt:P279)*"
76,"Which syndromes are associated with mutations in the EZH2 gene?","select distinct ?item where {
  ?item wdt:P2293 wd:Q17917770 .
  ?item (wdt:P31|wdt:P279)* wd:Q179630 .
}","['?item wdt:P2293 wd:Q17917770', '?item (wdt:P31|wdt:P279)* wd:Q179630']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q179630","wd:Q17917770","wdt:P2293","(wdt:P31|wdt:P279)*"
77,"Which body parts express the ACE2 protein?","select distinct ?item where {
  wd:Q14875321 wdt:P5572 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q4936952 . 
}","['wd:Q14875321 wdt:P5572 ?item', '?item (wdt:P31|wdt:P279)* wd:Q4936952']","['wdt:P5572', '(wdt:P31|wdt:P279)*']","wd:Q4936952","wd:Q14875321","wdt:P5572","(wdt:P31|wdt:P279)*"
78,"Which gene is responsible for the development of Sotos syndrome?","select ?item ?itemLabel
Where {
  wd:Q1770836 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q1770836 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q1770836","wdt:P2293","(wdt:P31|wdt:P279)*"
79,"Which genes are thought to be involved in medulloblastoma development?","select distinct ?item where {
   wd:Q1333608 wdt:P2293 ?item.
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q1333608 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q1333608","wdt:P2293","(wdt:P31|wdt:P279)*"
80,"Which gene has been found to be mutant in Lesch-Nyhan Disease patients?","select ?item ?itemLabel
Where {
  wd:Q727436 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q727436 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q727436","wdt:P2293","(wdt:P31|wdt:P279)*"
81,"Which are the types of cancer that c-Myc is associated with?","select ?item where {
  ?item wdt:P2293 wd:Q20969939 .
  ?item (wdt:P31|wdt:P279)* wd:Q12078 .
}
","['?item wdt:P2293 wd:Q20969939', '?item (wdt:P31|wdt:P279)* wd:Q12078']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12078","wd:Q20969939","wdt:P2293","(wdt:P31|wdt:P279)*"
82,"Which syndrome is associated to SAMHD1 gene mutations?","select ?item ?itemLabel
Where {
  ?item wdt:P2293 wd:Q18037813 .
  ?item (wdt:P31|wdt:P279)* wd:Q179630 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['?item wdt:P2293 wd:Q18037813', '?item (wdt:P31|wdt:P279)* wd:Q179630']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q179630","wd:Q18037813","wdt:P2293","(wdt:P31|wdt:P279)*"
83,"Which genes are known to be involved in Diamond-Blackfan anemia?","select distinct ?item where {
  wd:Q1208654 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q1208654 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q1208654","wdt:P2293","(wdt:P31|wdt:P279)*"
84,"Aducanumab can be used for treatment of which disease?","select ?item where {
  wd:Q15708278 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['wd:Q15708278 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q15708278","wdt:P2175","(wdt:P31|wdt:P279)*"
85,"List drugs used to treat opioid addiction or overdose","select distinct ?item where {
  wd:Q1639178 wdt:P2176 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12140 .
}","['wd:Q1639178 wdt:P2176 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12140']","['wdt:P2176', '(wdt:P31|wdt:P279)*']","wd:Q12140","wd:Q1639178","wdt:P2176","(wdt:P31|wdt:P279)*"
86,"What is the gene responsible for causing tuberous sclerosis?","select ?item ?itemLabel 
Where {   
wd:Q1362721 wdt:P2293 ?item .   
?item (wdt:P31|wdt:P279)* wd:Q7187 .
?item rdfs:label ?itemLabel .   
filter(lang(?itemLabel) = ""en"") 
}","['wd:Q1362721 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q1362721","wdt:P2293","(wdt:P31|wdt:P279)*"
87,"What are the cardiovascular manifestations of Marfan syndrome?","select distinct ?item where {
  wd:Q208562 wdt:P780 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q389735 .
}","['wd:Q208562 wdt:P780 ?item', '?item (wdt:P31|wdt:P279)* wd:Q389735']","['wdt:P780', '(wdt:P31|wdt:P279)*']","wd:Q389735","wd:Q208562","wdt:P780","(wdt:P31|wdt:P279)*"
88,"Which kinases does baricitinib target?","select distinct ?item where {
  wd:Q4860707 wdt:P129 ?item .
  ?item (wdt:P31|wdt:P279|wdt:P361)* wd:Q421851 .
}","['wd:Q4860707 wdt:P129 ?item', '?item (wdt:P31|wdt:P279|wdt:P361)* wd:Q421851']","['wdt:P129', '(wdt:P31|wdt:P279|wdt:P361)*']","wd:Q421851","wd:Q4860707","wdt:P129","(wdt:P31|wdt:P279|wdt:P361)*"
89,"Which is the neurodevelopmental disorder associated to mutations in the X- linked gene mecp2?","select ?item ?itemLabel
Where {
  wd:Q18028997 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q6691991 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q18028997 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q6691991']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q6691991","wd:Q18028997","wdt:P2293","(wdt:P31|wdt:P279)*"
90,"Which syndrome is caused by pathogenic COL4A5 variants?","select ?item where {
  ?item wdt:P2293 wd:Q17907906 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['?item wdt:P2293 wd:Q17907906', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q17907906","wdt:P2293","(wdt:P31|wdt:P279)*"
91,"What is the gene involved in Ohdo syndrome?","select ?item ?itemLabel
Where {
  wd:Q8058422 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q8058422 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q8058422","wdt:P2293","(wdt:P31|wdt:P279)*"
92,"List monoclonal antibodies included in the REGEN-COV.","select ?item where {
  wd:Q99328880 wdt:P527 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q422248 .
}
","['wd:Q99328880 wdt:P527 ?item', '?item (wdt:P31|wdt:P279)* wd:Q422248']","['wdt:P527', '(wdt:P31|wdt:P279)*']","wd:Q422248","wd:Q99328880","wdt:P527","(wdt:P31|wdt:P279)*"
93,"Mutation of which gene is associated with Achondroplasia?","select ?item ?itemLabel
Where {
  wd:Q340594 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q340594 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q340594","wdt:P2293","(wdt:P31|wdt:P279)*"
94,"Which protein is encoded by the gene APOBEC3C?","select ?item ?itemLabel
where {
  wd:Q18038804 wdt:P688 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q8054 .  
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q18038804 wdt:P688 ?item', '?item (wdt:P31|wdt:P279)* wd:Q8054']","['wdt:P688', '(wdt:P31|wdt:P279)*']","wd:Q8054","wd:Q18038804","wdt:P688","(wdt:P31|wdt:P279)*"
95,"What is the gene involved in episodic ataxia type 6?","select ?item ?itemLabel
Where {
  wd:Q21097872 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .   
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21097872 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q21097872","wdt:P2293","(wdt:P31|wdt:P279)*"
96,"Which malignancies is Keytruda used for?","select distinct ?item where {
  ?item (wdt:P31|wdt:P279)* wd:Q1216998 .
  wd:Q13896859 wdt:P2175 ?item .
}","['?item (wdt:P31|wdt:P279)* wd:Q1216998', 'wd:Q13896859 wdt:P2175 ?item']","['(wdt:P31|wdt:P279)*', 'wdt:P2175']","wd:Q1216998","wd:Q13896859","wdt:P2175","(wdt:P31|wdt:P279)*"
97,"Treprostinil is a type of which prostaglandin?","select ?item ?itemLabel
Where {
  wd:Q3495231 wdt:P279 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q209717 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q3495231 wdt:P279 ?item', '?item (wdt:P31|wdt:P279)* wd:Q209717']","['wdt:P279', '(wdt:P31|wdt:P279)*']","wd:Q209717","wd:Q3495231","wdt:P279","(wdt:P31|wdt:P279)*"
98,"Which disease is diagnosed using the Finkelsteins test?","select ?item ?itemLabel
Where {
  wd:Q476130 wdt:P5132 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q476130 wdt:P5132 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P5132', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q476130","wdt:P5132","(wdt:P31|wdt:P279)*"
99,"Which disease is gemtuzumab ozogamicin used for?","select ?item ?itemLabel
Where {
  wd:Q412685 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q412685 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q412685","wdt:P2175","(wdt:P31|wdt:P279)*"
100,"Which tendons are affected in the Dequervain's tenosynovitis?","select distinct ?item where {
  wd:Q517202 wdt:P689 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q232358 .
}","['wd:Q517202 wdt:P689 ?item', '?item (wdt:P31|wdt:P279)* wd:Q232358']","['wdt:P689', '(wdt:P31|wdt:P279)*']","wd:Q232358","wd:Q517202","wdt:P689","(wdt:P31|wdt:P279)*"
101,"Which cancers compose Carney's triad?","select distinct ?item where {
  wd:Q5044023 wdt:P527 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12078 .
}","['wd:Q5044023 wdt:P527 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12078']","['wdt:P527', '(wdt:P31|wdt:P279)*']","wd:Q12078","wd:Q5044023","wdt:P527","(wdt:P31|wdt:P279)*"
102,"Mutations in which gene is associated with Netherton syndrome?","select distinct ?item where {
  wd:Q9390284 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q9390284 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q9390284","wdt:P2293","(wdt:P31|wdt:P279)*"
103,"Which gene is responsible for the Liebenberg syndrome?","select ?item ?itemLabel
where {
  wd:Q6543864 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .  
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q6543864 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q6543864","wdt:P2293","(wdt:P31|wdt:P279)*"
104,"What are the organisms can cause Human toxocariasis?","select distinct ?item where {
  wd:Q1345113 wdt:P828 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q16521 .
}","['wd:Q1345113 wdt:P828 ?item', '?item (wdt:P31|wdt:P279)* wd:Q16521']","['wdt:P828', '(wdt:P31|wdt:P279)*']","wd:Q16521","wd:Q1345113","wdt:P828","(wdt:P31|wdt:P279)*"
105,"Which gene causes Schimke immune-osseous dysplasia?","select ?item ?itemLabel
Where {
  wd:Q22938868 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q22938868 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q22938868","wdt:P2293","(wdt:P31|wdt:P279)*"
106,"List disorders that are caused by mutations in the mitochondrial MTND6 gene.","select distinct ?item where {
  ?item wdt:P2293 wd:Q18029567 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['?item wdt:P2293 wd:Q18029567', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q18029567","wdt:P2293","(wdt:P31|wdt:P279)*"
107,"Which is the main calcium binding protein of the sarcoplasmic reticulum?","select ?item ?itemLabel where {
  ?item (wdt:P31|wdt:P279|wdt:P361)* wd:Q5018802 .
  ?item wdt:P681 wd:Q14633936 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['?item (wdt:P31|wdt:P279|wdt:P361)* wd:Q5018802', '?item wdt:P681 wd:Q14633936']","['(wdt:P31|wdt:P279|wdt:P361)*', 'wdt:P681']","wd:Q5018802","wd:Q14633936","wdt:P681","(wdt:P31|wdt:P279|wdt:P361)*"
108,"Are there drugs for Tick-borne Encephalitis?","select distinct ?item where {
  wd:Q326663 wdt:P2176 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12140 .
}","['wd:Q326663 wdt:P2176 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12140']","['wdt:P2176', '(wdt:P31|wdt:P279)*']","wd:Q12140","wd:Q326663","wdt:P2176","(wdt:P31|wdt:P279)*"
109,"What protein is encoded by the GRN gene?","select ?item where {
  wd:Q18026495 wdt:P688 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q8054 .
}","['wd:Q18026495 wdt:P688 ?item', '?item (wdt:P31|wdt:P279)* wd:Q8054']","['wdt:P688', '(wdt:P31|wdt:P279)*']","wd:Q8054","wd:Q18026495","wdt:P688","(wdt:P31|wdt:P279)*"
110,"What tissue is most affected in Ehlers-Danlos syndromes?","select ?item ?itemLabel
Where {
  wd:Q1141499 wdt:P689 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q40397 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q1141499 wdt:P689 ?item', '?item (wdt:P31|wdt:P279)* wd:Q40397']","['wdt:P689', '(wdt:P31|wdt:P279)*']","wd:Q40397","wd:Q1141499","wdt:P689","(wdt:P31|wdt:P279)*"
111,"What is the gene which is mutated in Roberts syndrome?","select ?item ?itemLabel
Where {
  wd:Q619428 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q619428 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q619428","wdt:P2293","(wdt:P31|wdt:P279)*"
112,"Which body parts secrete lactotransferrin?","select distinct ?item where {
  wd:Q14864016 wdt:P5572 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q4936952 . 
}","['wd:Q14864016 wdt:P5572 ?item', '?item (wdt:P31|wdt:P279)* wd:Q4936952']","['wdt:P5572', '(wdt:P31|wdt:P279)*']","wd:Q4936952","wd:Q14864016","wdt:P5572","(wdt:P31|wdt:P279)*"
113,"Which disease is associated with mutated Sox2?","select ?item ?itemLabel
Where {
  ?item wdt:P2293 wd:Q18031649 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['?item wdt:P2293 wd:Q18031649', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q18031649","wdt:P2293","(wdt:P31|wdt:P279)*"
114,"What tissue is commonly affected in Marfans syndrome","select ?item ?itemLabel
Where {
  wd:Q208562 wdt:P689 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q40397 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q208562 wdt:P689 ?item', '?item (wdt:P31|wdt:P279)* wd:Q40397']","['wdt:P689', '(wdt:P31|wdt:P279)*']","wd:Q40397","wd:Q208562","wdt:P689","(wdt:P31|wdt:P279)*"
115,"Which diseases have been associated with the PTPN22 620W allele?","select distinct ?item where {
  ?item wdt:P2293 wd:Q3888227 .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
}","['?item wdt:P2293 wd:Q3888227', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q3888227","wdt:P2293","(wdt:P31|wdt:P279)*"
116,"Mutation of which gene cause Neurofibromatosis type I?","select distinct ?item where {
  wd:Q7616509 wdt:P2293 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q7187 .
}","['wd:Q7616509 wdt:P2293 ?item', '?item (wdt:P31|wdt:P279)* wd:Q7187']","['wdt:P2293', '(wdt:P31|wdt:P279)*']","wd:Q7187","wd:Q7616509","wdt:P2293","(wdt:P31|wdt:P279)*"
117,"What organism causes tularemia?","select ?item ?itemLabel
Where {
  wd:Q153861 wdt:P828 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q16521 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q153861 wdt:P828 ?item', '?item (wdt:P31|wdt:P279)* wd:Q16521']","['wdt:P828', '(wdt:P31|wdt:P279)*']","wd:Q16521","wd:Q153861","wdt:P828","(wdt:P31|wdt:P279)*"
118,"What disease is Velcade (bortezomib) mainly used for?","select ?item ?itemLabel
Where {
  wd:Q419319 wdt:P2175 ?item .
  ?item (wdt:P31|wdt:P279)* wd:Q12136 .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q419319 wdt:P2175 ?item', '?item (wdt:P31|wdt:P279)* wd:Q12136']","['wdt:P2175', '(wdt:P31|wdt:P279)*']","wd:Q12136","wd:Q419319","wdt:P2175","(wdt:P31|wdt:P279)*"
