,0,1,"query","relations","primary","primary_rel"
106,"When ceritinib is used?","select distinct ?item where {
  wd:Q21011233 wdt:P2175 ?item .
}","['wd:Q21011233 wdt:P2175 ?item']","['wdt:P2175']","wd:Q21011233","wdt:P2175"
107,"What is the tradename of apixaban?","select ?item ?itemLabel
Where {
  wd:Q414462 wdt:P3780 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q414462 wdt:P3780 ?item']","['wdt:P3780']","wd:Q414462","wdt:P3780"
108,"Which is the most common monogenic cause of common variable immunodeficiency (CVID)?","select ?item ?itemLabel
Where {
  wd:Q1472818 wdt:P2293 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q1472818 wdt:P2293 ?item']","['wdt:P2293']","wd:Q1472818","wdt:P2293"
109,"Which is the vector of Louping ill virus?","select ?item ?itemLabel
Where {
  wd:Q19838288 wdt:P2975 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q19838288 wdt:P2975 ?item']","['wdt:P2975']","wd:Q19838288","wdt:P2975"
110,"Which is the most mutated gene in dilated cardiomyopathy (DCM)?","select ?item ?itemLabel
Where {
  wd:Q283656 wdt:P2293 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q283656 wdt:P2293 ?item']","['wdt:P2293']","wd:Q283656","wdt:P2293"
111,"What is the function of cryptochrome-1 in mouse?","select ?item ?itemLabel
Where {
  wd:Q14866013 wdt:P682 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q14866013 wdt:P682 ?item']","['wdt:P682']","wd:Q14866013","wdt:P682"
112,"Where is fatty acid binding protein 2 expressed?","select ?item ?itemLabel
Where {
  wd:Q17927050 wdt:P5572 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q17927050 wdt:P5572 ?item']","['wdt:P5572']","wd:Q17927050","wdt:P5572"
113,"Where is the body would the Peyer's patches be found","select ?item where {
  wd:Q599966 wdt:P927 ?item .
}","['wd:Q599966 wdt:P927 ?item']","['wdt:P927']","wd:Q599966","wdt:P927"
114,"What is the function of the HSJ1 proteins?","select ?item ?itemLabel
where {
  wd:Q21117951 wdt:P682 ?item .
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21117951 wdt:P682 ?item']","['wdt:P682']","wd:Q21117951","wdt:P682"
115,"What are manifestations of the Saint's Triad?","select distinct ?item where {
  wd:Q1448753 wdt:P527 ?item .
}","['wd:Q1448753 wdt:P527 ?item']","['wdt:P527']","wd:Q1448753","wdt:P527"
116,"List symptoms of the Hakim Triad?","select distinct ?item where {
  wd:Q1442701 wdt:P780 ?item .
}","['wd:Q1442701 wdt:P780 ?item']","['wdt:P780']","wd:Q1442701","wdt:P780"
117,"Where is the organ of Corti located?","select ?item ?itemLabel
where {
  wd:Q1128309 wdt:P361 ?item .
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q1128309 wdt:P361 ?item']","['wdt:P361']","wd:Q1128309","wdt:P361"
118,"List indications for rituximab.","select distinct ?item where {
  wd:Q412323 wdt:P2175 ?item .
}","['wd:Q412323 wdt:P2175 ?item']","['wdt:P2175']","wd:Q412323","wdt:P2175"
119,"Where is the histone variant CENPA preferentially localized?","select ?item ?itemLabel
Where {
  wd:Q21109722 wdt:P681 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21109722 wdt:P681 ?item']","['wdt:P681']","wd:Q21109722","wdt:P681"
120,"What is the protein product of the gene GBA2?","select ?item ?itemLabel
Where {
  wd:Q18044482 wdt:P688 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q18044482 wdt:P688 ?item']","['wdt:P688']","wd:Q18044482","wdt:P688"
121,"What is the function of the stard10 protein?","select ?item ?itemLabel
where {
  wd:Q21111432 wdt:P682 ?item .
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q21111432 wdt:P682 ?item']","['wdt:P682']","wd:Q21111432","wdt:P682"
122,"What does temsirolimus target?","select ?item where {
  wd:Q7699074 wdt:P129 ?item .
}","['wd:Q7699074 wdt:P129 ?item']","['wdt:P129']","wd:Q7699074","wdt:P129"
123,"What is the genetic basis for Cornelia de Langes syndrome?","select ?item ?itemLabel
Where {
  wd:Q1133289 wdt:P2293 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q1133289 wdt:P2293 ?item']","['wdt:P2293']","wd:Q1133289","wdt:P2293"
124,"Which clotting factor is in the Andexxa?","select ?item ?itemLabel
Where {
  wd:Q7120529 wdt:P3781 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}
","['wd:Q7120529 wdt:P3781 ?item']","['wdt:P3781']","wd:Q7120529","wdt:P3781"
125,"What is the indication for zolmitriptan?","select ?item ?itemLabel
where {
  wd:Q218820 wdt:P2175 ?item .
  ?item skos:prefLabel ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q218820 wdt:P2175 ?item']","['wdt:P2175']","wd:Q218820","wdt:P2175"
126,"What is targeted by Palbociclib?","select ?item ?itemLabel
Where {
  wd:Q15269707 wdt:P2175 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q15269707 wdt:P2175 ?item']","['wdt:P2175']","wd:Q15269707","wdt:P2175"
127,"What is the drug chloroquine or hydroxychloroquine used for?","select distinct ?item where {
  wd:Q421094 wdt:P2175 ?item .
}","['wd:Q421094 wdt:P2175 ?item']","['wdt:P2175']","wd:Q421094","wdt:P2175"
128,"What is the main symptom of Marfan syndrome patients?","select ?item ?itemLabel
Where {
  wd:Q208562 wdt:P780 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q208562 wdt:P780 ?item']","['wdt:P780']","wd:Q208562","wdt:P780"
129,"What is another name for the plant Sideritis scardica?","select ?item ?itemLabel
Where {
  wd:Q15367189 wdt:P1843 ?item .
  ?item rdfs:label ?itemLabel .
  filter(lang(?itemLabel) = ""en"")
}","['wd:Q15367189 wdt:P1843 ?item']","['wdt:P1843']","wd:Q15367189","wdt:P1843"
130,"List NK3R targeting drugs.","select distinct ?item where {
  ?item wdt:P129 wd:Q21123087  .
}","['?item wdt:P129 wd:Q21123087']","['wdt:P129']","wd:Q21123087","wdt:P129"
131,"What disease is the ALK tyrosine kinase associated with?","select distinct ?item
Where {
  wd:Q17824987 wdt:P2293 ?item .
}","['wd:Q17824987 wdt:P2293 ?item']","['wdt:P2293']","wd:Q17824987","wdt:P2293"
132,"Viliuisk encephalomyelitis is diagnosed in which geographical area?","select ?item
Where {
  wd:Q7930230 wdt:P276 ?item .
}","['wd:Q7930230 wdt:P276 ?item']","['wdt:P276']","wd:Q7930230","wdt:P276"
